mlkrantz, 38684, Mon May 26 19:22:14 2014

***** Turn 0 *****
Avatar 0, at position (28, 20), attempted to move North

***** Turn 1 *****
Avatar 1, at position (24, 30), attempted to move North

***** Turn 2 *****
Avatar 2, at position (0, 23), attempted to move North

***** Turn 3 *****
Avatar 3, at position (39, 31), attempted to move North

***** Turn 4 *****
Avatar 4, at position (7, 4), attempted to move North

***** Turn 5 *****
Avatar 5, at position (23, 38), attempted to move North

***** Turn 6 *****
Avatar 6, at position (0, 21), attempted to move North

***** Turn 7 *****
Avatar 7, at position (18, 28), attempted to move North

***** Turn 8 *****
Avatar 8, at position (21, 36), attempted to move North

***** Turn 9 *****
Avatar 9, at position (32, 37), attempted to move North

***** Turn 10 *****
Avatar 0, at position (28, 19), attempted to move West

***** Turn 11 *****
Avatar 1, at position (24, 30), attempted to move East

***** Turn 12 *****
Avatar 2, at position (0, 22), attempted to move West

***** Turn 13 *****
Avatar 3, at position (39, 30), attempted to move West

***** Turn 14 *****
Avatar 4, at position (7, 3), attempted to move West

***** Turn 15 *****
Avatar 5, at position (23, 37), attempted to move West

***** Turn 16 *****
Avatar 6, at position (0, 20), attempted to move West

***** Turn 17 *****
Avatar 7, at position (18, 27), attempted to move West

***** Turn 18 *****
Avatar 8, at position (21, 35), attempted to move West

***** Turn 19 *****
Avatar 9, at position (32, 37), attempted to move East

***** Turn 20 *****
Avatar 0, at position (27, 19), attempted to move South

***** Turn 21 *****
Avatar 1, at position (25, 30), attempted to move North

***** Turn 22 *****
Avatar 2, at position (0, 22), attempted to move North

***** Turn 23 *****
Avatar 3, at position (39, 30), attempted to move North

***** Turn 24 *****
Avatar 4, at position (7, 3), attempted to move North

***** Turn 25 *****
Avatar 5, at position (22, 37), attempted to move South

***** Turn 26 *****
Avatar 6, at position (0, 20), attempted to move North

***** Turn 27 *****
Avatar 7, at position (18, 27), attempted to move North

***** Turn 28 *****
Avatar 8, at position (20, 35), attempted to move South

***** Turn 29 *****
Avatar 9, at position (32, 37), attempted to move South

***** Turn 30 *****
Avatar 0, at position (27, 19), attempted to move West

***** Turn 31 *****
Avatar 1, at position (25, 29), attempted to move West

***** Turn 32 *****
Avatar 2, at position (0, 22), attempted to move East

***** Turn 33 *****
Avatar 3, at position (39, 29), attempted to move West

***** Turn 34 *****
Avatar 4, at position (7, 3), attempted to move East

***** Turn 35 *****
Avatar 5, at position (22, 37), attempted to move West

***** Turn 36 *****
Avatar 6, at position (0, 20), attempted to move East

***** Turn 37 *****
Avatar 7, at position (18, 26), attempted to move West

***** Turn 38 *****
Avatar 8, at position (20, 36), attempted to move East

***** Turn 39 *****
Avatar 9, at position (32, 38), attempted to move East

***** Turn 40 *****
Avatar 0, at position (27, 19), attempted to move North

***** Turn 41 *****
Avatar 1, at position (24, 29), attempted to move South

***** Turn 42 *****
Avatar 2, at position (1, 22), attempted to move North

***** Turn 43 *****
Avatar 3, at position (38, 29), attempted to move South

***** Turn 44 *****
Avatar 4, at position (8, 3), attempted to move North

***** Turn 45 *****
Avatar 5, at position (21, 37), attempted to move South

***** Turn 46 *****
Avatar 6, at position (1, 20), attempted to move North

***** Turn 47 *****
Avatar 7, at position (17, 26), attempted to move South

***** Turn 48 *****
Avatar 8, at position (20, 36), attempted to move South

***** Turn 49 *****
Avatar 9, at position (33, 38), attempted to move North

***** Turn 50 *****
Avatar 0, at position (27, 18), attempted to move West

***** Turn 51 *****
Avatar 1, at position (24, 29), attempted to move West

***** Turn 52 *****
Avatar 2, at position (1, 22), attempted to move East

***** Turn 53 *****
Avatar 3, at position (38, 29), attempted to move West

***** Turn 54 *****
Avatar 4, at position (8, 2), attempted to move West

***** Turn 55 *****
Avatar 5, at position (21, 37), attempted to move West

***** Turn 56 *****
Avatar 6, at position (1, 19), attempted to move West

***** Turn 57 *****
Avatar 7, at position (17, 27), attempted to move East

***** Turn 58 *****
Avatar 8, at position (20, 36), attempted to move West

***** Turn 59 *****
Avatar 9, at position (33, 37), attempted to move West

***** Turn 60 *****
Avatar 0, at position (27, 18), attempted to move North

***** Turn 61 *****
Avatar 1, at position (23, 29), attempted to move South

***** Turn 62 *****
Avatar 2, at position (1, 22), attempted to move South

***** Turn 63 *****
Avatar 3, at position (37, 29), attempted to move South

***** Turn 64 *****
Avatar 4, at position (8, 2), attempted to move North

***** Turn 65 *****
Avatar 5, at position (20, 37), attempted to move South

***** Turn 66 *****
Avatar 6, at position (1, 19), attempted to move North

***** Turn 67 *****
Avatar 7, at position (17, 27), attempted to move South

***** Turn 68 *****
Avatar 8, at position (19, 36), attempted to move South

***** Turn 69 *****
Avatar 9, at position (33, 37), attempted to move North

***** Turn 70 *****
Avatar 0, at position (27, 18), attempted to move East

***** Turn 71 *****
Avatar 1, at position (23, 29), attempted to move West

***** Turn 72 *****
Avatar 2, at position (1, 23), attempted to move East

***** Turn 73 *****
Avatar 3, at position (37, 29), attempted to move West

***** Turn 74 *****
Avatar 4, at position (8, 1), attempted to move West

***** Turn 75 *****
Avatar 5, at position (20, 38), attempted to move East

***** Turn 76 *****
Avatar 6, at position (1, 18), attempted to move West

***** Turn 77 *****
Avatar 7, at position (17, 28), attempted to move East

***** Turn 78 *****
Avatar 8, at position (19, 37), attempted to move East

***** Turn 79 *****
Avatar 9, at position (33, 37), attempted to move East

***** Turn 80 *****
Avatar 0, at position (28, 18), attempted to move North

***** Turn 81 *****
Avatar 1, at position (23, 29), attempted to move North

***** Turn 82 *****
Avatar 2, at position (1, 23), attempted to move South

***** Turn 83 *****
Avatar 3, at position (36, 29), attempted to move South

***** Turn 84 *****
Avatar 4, at position (8, 1), attempted to move North

***** Turn 85 *****
Avatar 5, at position (21, 38), attempted to move North

***** Turn 86 *****
Avatar 6, at position (1, 18), attempted to move North

***** Turn 87 *****
Avatar 7, at position (17, 28), attempted to move South

***** Turn 88 *****
Avatar 8, at position (19, 37), attempted to move South

***** Turn 89 *****
Avatar 9, at position (34, 37), attempted to move North

***** Turn 90 *****
Avatar 0, at position (28, 17), attempted to move West

***** Turn 91 *****
Avatar 1, at position (23, 28), attempted to move West

***** Turn 92 *****
Avatar 2, at position (1, 24), attempted to move East

***** Turn 93 *****
Avatar 3, at position (36, 30), attempted to move East

***** Turn 94 *****
Avatar 4, at position (8, 0), attempted to move West

***** Turn 95 *****
Avatar 5, at position (21, 38), attempted to move East

***** Turn 96 *****
Avatar 6, at position (1, 17), attempted to move West

***** Turn 97 *****
Avatar 7, at position (17, 29), attempted to move East

***** Turn 98 *****
Avatar 8, at position (19, 37), attempted to move West

***** Turn 99 *****
Avatar 9, at position (34, 37), attempted to move East

***** Turn 100 *****
Avatar 0, at position (28, 17), attempted to move North

***** Turn 101 *****
Avatar 1, at position (23, 28), attempted to move North

***** Turn 102 *****
Avatar 2, at position (2, 24), attempted to move North

***** Turn 103 *****
Avatar 3, at position (37, 30), attempted to move North

***** Turn 104 *****
Avatar 4, at position (7, 0), attempted to move South

***** Turn 105 *****
Avatar 5, at position (22, 38), attempted to move North

***** Turn 106 *****
Avatar 6, at position (1, 17), attempted to move North

***** Turn 107 *****
Avatar 7, at position (17, 29), attempted to move South

***** Turn 108 *****
Avatar 8, at position (18, 37), attempted to move South

***** Turn 109 *****
Avatar 9, at position (35, 37), attempted to move North

***** Turn 110 *****
Avatar 0, at position (28, 16), attempted to move West

***** Turn 111 *****
Avatar 1, at position (23, 27), attempted to move West

***** Turn 112 *****
Avatar 2, at position (2, 24), attempted to move East

***** Turn 113 *****
Avatar 3, at position (37, 30), attempted to move East

***** Turn 114 *****
Avatar 4, at position (7, 0), attempted to move West

***** Turn 115 *****
Avatar 5, at position (22, 38), attempted to move East

***** Turn 116 *****
Avatar 6, at position (1, 17), attempted to move East

***** Turn 117 *****
Avatar 7, at position (17, 30), attempted to move East

***** Turn 118 *****
Avatar 8, at position (18, 37), attempted to move West

***** Turn 119 *****
Avatar 9, at position (35, 36), attempted to move West

***** Turn 120 *****
Avatar 0, at position (27, 16), attempted to move South

***** Turn 121 *****
Avatar 1, at position (23, 27), attempted to move North

***** Turn 122 *****
Avatar 2, at position (2, 24), attempted to move South

***** Turn 123 *****
Avatar 3, at position (38, 30), attempted to move North

***** Turn 124 *****
Avatar 4, at position (6, 0), attempted to move South

***** Turn 125 *****
Avatar 5, at position (22, 38), attempted to move South

***** Turn 126 *****
Avatar 6, at position (2, 17), attempted to move North

***** Turn 127 *****
Avatar 7, at position (17, 30), attempted to move South

***** Turn 128 *****
Avatar 8, at position (18, 37), attempted to move North

***** Turn 129 *****
Avatar 9, at position (34, 36), attempted to move South

***** Turn 130 *****
Avatar 0, at position (27, 16), attempted to move West

***** Turn 131 *****
Avatar 1, at position (23, 27), attempted to move East

***** Turn 132 *****
Avatar 2, at position (2, 25), attempted to move East

***** Turn 133 *****
Avatar 3, at position (38, 30), attempted to move East

***** Turn 134 *****
Avatar 4, at position (6, 1), attempted to move East

***** Turn 135 *****
Avatar 5, at position (22, 39), attempted to move East

***** Turn 136 *****
Avatar 6, at position (2, 16), attempted to move West

***** Turn 137 *****
Avatar 7, at position (17, 30), attempted to move West

***** Turn 138 *****
Avatar 8, at position (18, 36), attempted to move West

***** Turn 139 *****
Avatar 9, at position (34, 36), attempted to move West

***** Turn 140 *****
Avatar 0, at position (27, 16), attempted to move North

***** Turn 141 *****
Avatar 1, at position (24, 27), attempted to move North

***** Turn 142 *****
Avatar 2, at position (3, 25), attempted to move North

***** Turn 143 *****
Avatar 3, at position (38, 30), attempted to move South

***** Turn 144 *****
Avatar 4, at position (6, 1), attempted to move South

***** Turn 145 *****
Avatar 5, at position (22, 39), attempted to move South

***** Turn 146 *****
Avatar 6, at position (2, 16), attempted to move North

***** Turn 147 *****
Avatar 7, at position (16, 30), attempted to move South

***** Turn 148 *****
Avatar 8, at position (17, 36), attempted to move South

***** Turn 149 *****
Avatar 9, at position (34, 36), attempted to move North

***** Turn 150 *****
Avatar 0, at position (27, 15), attempted to move West

