mlkrantz, 58101, Fri May 23 17:45:42 2014

***** Turn 0 *****
Avatar 0, at position (82, 34), attempted to move North

***** Turn 1 *****
Avatar 1, at position (51, 50), attempted to move North

***** Turn 2 *****
Avatar 2, at position (74, 53), attempted to move North

***** Turn 3 *****
Avatar 3, at position (51, 61), attempted to move North

***** Turn 4 *****
Avatar 0, at position (82, 34), attempted to move East

***** Turn 5 *****
Avatar 1, at position (51, 50), attempted to move East

***** Turn 6 *****
Avatar 2, at position (74, 52), attempted to move West

***** Turn 7 *****
Avatar 3, at position (51, 61), attempted to move East

***** Turn 8 *****
Avatar 0, at position (82, 34), attempted to move South

***** Turn 9 *****
Avatar 1, at position (51, 50), attempted to move South

***** Turn 10 *****
Avatar 2, at position (74, 52), attempted to move North

***** Turn 11 *****
Avatar 3, at position (52, 61), attempted to move North

***** Turn 12 *****
Avatar 0, at position (82, 35), attempted to move East

***** Turn 13 *****
Avatar 1, at position (51, 51), attempted to move East

***** Turn 14 *****
Avatar 2, at position (74, 52), attempted to move East

***** Turn 15 *****
Avatar 3, at position (52, 61), attempted to move East

***** Turn 16 *****
Avatar 0, at position (83, 35), attempted to move North

***** Turn 17 *****
Avatar 1, at position (51, 51), attempted to move South

***** Turn 18 *****
Avatar 2, at position (75, 52), attempted to move North

***** Turn 19 *****
Avatar 3, at position (53, 61), attempted to move North

***** Turn 20 *****
Avatar 0, at position (83, 35), attempted to move East

***** Turn 21 *****
Avatar 1, at position (51, 52), attempted to move East

***** Turn 22 *****
Avatar 2, at position (75, 52), attempted to move East

***** Turn 23 *****
Avatar 3, at position (53, 60), attempted to move West

***** Turn 24 *****
Avatar 0, at position (84, 35), attempted to move North

***** Turn 25 *****
Avatar 1, at position (51, 52), attempted to move South

***** Turn 26 *****
Avatar 2, at position (75, 52), attempted to move South

***** Turn 27 *****
Avatar 3, at position (52, 60), attempted to move South

***** Turn 28 *****
Avatar 0, at position (84, 35), attempted to move East

***** Turn 29 *****
Avatar 1, at position (51, 53), attempted to move East

***** Turn 30 *****
Avatar 2, at position (75, 53), attempted to move East

***** Turn 31 *****
Avatar 3, at position (52, 60), attempted to move West

***** Turn 32 *****
Avatar 0, at position (85, 35), attempted to move North

***** Turn 33 *****
Avatar 1, at position (52, 53), attempted to move North

***** Turn 34 *****
Avatar 2, at position (76, 53), attempted to move North

***** Turn 35 *****
Avatar 3, at position (51, 60), attempted to move South

***** Turn 36 *****
Avatar 0, at position (85, 34), attempted to move West

***** Turn 37 *****
Avatar 1, at position (52, 53), attempted to move East

***** Turn 38 *****
Avatar 2, at position (76, 52), attempted to move West

***** Turn 39 *****
Avatar 3, at position (51, 60), attempted to move West

***** Turn 40 *****
Avatar 0, at position (85, 34), attempted to move North

***** Turn 41 *****
Avatar 1, at position (52, 53), attempted to move South

***** Turn 42 *****
Avatar 2, at position (76, 52), attempted to move North

***** Turn 43 *****
Avatar 3, at position (51, 60), attempted to move North

***** Turn 44 *****
Avatar 0, at position (85, 33), attempted to move West

***** Turn 45 *****
Avatar 1, at position (52, 53), attempted to move West

***** Turn 46 *****
Avatar 2, at position (76, 51), attempted to move West

***** Turn 47 *****
Avatar 3, at position (51, 60), attempted to move East

***** Turn 48 *****
Avatar 0, at position (85, 33), attempted to move North

***** Turn 49 *****
Avatar 1, at position (51, 53), attempted to move South

***** Turn 50 *****
Avatar 2, at position (76, 51), attempted to move North

***** Turn 51 *****
Avatar 3, at position (52, 60), attempted to move North

***** Turn 52 *****
Avatar 0, at position (85, 33), attempted to move East

***** Turn 53 *****
Avatar 1, at position (51, 53), attempted to move West

***** Turn 54 *****
Avatar 2, at position (76, 51), attempted to move East

***** Turn 55 *****
Avatar 3, at position (52, 60), attempted to move East

***** Turn 56 *****
Avatar 0, at position (86, 33), attempted to move North

***** Turn 57 *****
Avatar 1, at position (51, 53), attempted to move North

***** Turn 58 *****
Avatar 2, at position (77, 51), attempted to move North

***** Turn 59 *****
Avatar 3, at position (53, 60), attempted to move North

***** Turn 60 *****
Avatar 0, at position (86, 32), attempted to move West

***** Turn 61 *****
Avatar 1, at position (51, 52), attempted to move West

***** Turn 62 *****
Avatar 2, at position (77, 51), attempted to move East

***** Turn 63 *****
Avatar 3, at position (53, 60), attempted to move East

***** Turn 64 *****
Avatar 0, at position (86, 32), attempted to move North

***** Turn 65 *****
Avatar 1, at position (51, 52), attempted to move North

***** Turn 66 *****
Avatar 2, at position (78, 51), attempted to move North

***** Turn 67 *****
Avatar 3, at position (54, 60), attempted to move North

***** Turn 68 *****
Avatar 0, at position (86, 31), attempted to move West

***** Turn 69 *****
Avatar 1, at position (51, 51), attempted to move West

***** Turn 70 *****
Avatar 2, at position (78, 51), attempted to move East

***** Turn 71 *****
Avatar 3, at position (54, 60), attempted to move East

***** Turn 72 *****
Avatar 0, at position (86, 31), attempted to move North

***** Turn 73 *****
Avatar 1, at position (50, 51), attempted to move South

***** Turn 74 *****
Avatar 2, at position (78, 51), attempted to move South

***** Turn 75 *****
Avatar 3, at position (54, 60), attempted to move South

***** Turn 76 *****
Avatar 0, at position (86, 31), attempted to move East

***** Turn 77 *****
Avatar 1, at position (50, 52), attempted to move East

***** Turn 78 *****
Avatar 2, at position (78, 52), attempted to move East

***** Turn 79 *****
Avatar 3, at position (54, 61), attempted to move East

***** Turn 80 *****
Avatar 0, at position (87, 31), attempted to move North

***** Turn 81 *****
Avatar 1, at position (50, 52), attempted to move South

***** Turn 82 *****
Avatar 2, at position (78, 52), attempted to move South

***** Turn 83 *****
Avatar 3, at position (55, 61), attempted to move North

***** Turn 84 *****
Avatar 0, at position (87, 31), attempted to move East

***** Turn 85 *****
Avatar 1, at position (50, 53), attempted to move East

***** Turn 86 *****
Avatar 2, at position (78, 53), attempted to move East

***** Turn 87 *****
Avatar 3, at position (55, 60), attempted to move West

***** Turn 88 *****
Avatar 0, at position (88, 31), attempted to move North

***** Turn 89 *****
Avatar 1, at position (50, 53), attempted to move South

***** Turn 90 *****
Avatar 2, at position (78, 53), attempted to move South

***** Turn 91 *****
Avatar 3, at position (55, 60), attempted to move North

***** Turn 92 *****
Avatar 0, at position (88, 31), attempted to move East

***** Turn 93 *****
Avatar 1, at position (50, 54), attempted to move East

***** Turn 94 *****
Avatar 2, at position (78, 54), attempted to move East

***** Turn 95 *****
Avatar 3, at position (55, 60), attempted to move East

***** Turn 96 *****
Avatar 0, at position (89, 31), attempted to move North

***** Turn 97 *****
Avatar 1, at position (50, 54), attempted to move South

***** Turn 98 *****
Avatar 2, at position (79, 54), attempted to move North

***** Turn 99 *****
Avatar 3, at position (55, 60), attempted to move South

***** Turn 100 *****
Avatar 0, at position (89, 30), attempted to move West

***** Turn 101 *****
Avatar 1, at position (50, 55), attempted to move East

***** Turn 102 *****
Avatar 2, at position (79, 53), attempted to move West

***** Turn 103 *****
Avatar 3, at position (55, 61), attempted to move East

***** Turn 104 *****
Avatar 0, at position (89, 30), attempted to move North

***** Turn 105 *****
Avatar 1, at position (51, 55), attempted to move North

***** Turn 106 *****
Avatar 2, at position (79, 53), attempted to move North

***** Turn 107 *****
Avatar 3, at position (55, 61), attempted to move South

***** Turn 108 *****
Avatar 0, at position (89, 30), attempted to move East

***** Turn 109 *****
Avatar 1, at position (51, 54), attempted to move West

***** Turn 110 *****
Avatar 2, at position (79, 52), attempted to move West

***** Turn 111 *****
Avatar 3, at position (55, 62), attempted to move East

***** Turn 112 *****
Avatar 0, at position (90, 30), attempted to move North

***** Turn 113 *****
Avatar 1, at position (51, 54), attempted to move North

***** Turn 114 *****
Avatar 2, at position (79, 52), attempted to move North

***** Turn 115 *****
Avatar 3, at position (55, 62), attempted to move South

***** Turn 116 *****
Avatar 0, at position (90, 30), attempted to move East

***** Turn 117 *****
Avatar 1, at position (51, 54), attempted to move East

***** Turn 118 *****
Avatar 2, at position (79, 51), attempted to move West

***** Turn 119 *****
Avatar 3, at position (55, 62), attempted to move West

***** Turn 120 *****
Avatar 0, at position (91, 30), attempted to move North

***** Turn 121 *****
Avatar 1, at position (52, 54), attempted to move North

***** Turn 122 *****
Avatar 2, at position (79, 51), attempted to move North

***** Turn 123 *****
Avatar 3, at position (54, 62), attempted to move South

***** Turn 124 *****
Avatar 0, at position (91, 29), attempted to move West

***** Turn 125 *****
Avatar 1, at position (52, 54), attempted to move East

***** Turn 126 *****
Avatar 2, at position (79, 50), attempted to move West

***** Turn 127 *****
Avatar 3, at position (54, 62), attempted to move West

***** Turn 128 *****
Avatar 0, at position (91, 29), attempted to move North

***** Turn 129 *****
Avatar 1, at position (52, 54), attempted to move South

***** Turn 130 *****
Avatar 2, at position (78, 50), attempted to move South

***** Turn 131 *****
Avatar 3, at position (53, 62), attempted to move South

***** Turn 132 *****
Avatar 0, at position (91, 28), attempted to move West

***** Turn 133 *****
Avatar 1, at position (52, 55), attempted to move East

***** Turn 134 *****
Avatar 2, at position (78, 50), attempted to move West

***** Turn 135 *****
Avatar 3, at position (53, 63), attempted to move East

***** Turn 136 *****
Avatar 0, at position (90, 28), attempted to move South

***** Turn 137 *****
Avatar 1, at position (52, 55), attempted to move South

***** Turn 138 *****
Avatar 2, at position (78, 50), attempted to move North

***** Turn 139 *****
Avatar 3, at position (53, 63), attempted to move South

***** Turn 140 *****
Avatar 0, at position (90, 28), attempted to move West

***** Turn 141 *****
Avatar 1, at position (52, 56), attempted to move East

***** Turn 142 *****
Avatar 2, at position (78, 49), attempted to move West

***** Turn 143 *****
Avatar 3, at position (53, 64), attempted to move East

***** Turn 144 *****
Avatar 0, at position (89, 28), attempted to move South

***** Turn 145 *****
Avatar 1, at position (52, 56), attempted to move South

***** Turn 146 *****
Avatar 2, at position (78, 49), attempted to move North

***** Turn 147 *****
Avatar 3, at position (53, 64), attempted to move South

***** Turn 148 *****
Avatar 0, at position (89, 29), attempted to move East

***** Turn 149 *****
Avatar 1, at position (52, 57), attempted to move East

***** Turn 150 *****
Avatar 2, at position (78, 49), attempted to move East

