mlkrantz, 51554, Sat May 24 21:15:17 2014

***** Turn 0 *****
Avatar 0, at position (34, 39), attempted to move North

***** Turn 1 *****
Avatar 1, at position (2, 28), attempted to move North

***** Turn 2 *****
Avatar 2, at position (19, 38), attempted to move North

***** Turn 3 *****
Avatar 3, at position (6, 38), attempted to move North

***** Turn 4 *****
Avatar 4, at position (14, 33), attempted to move North

***** Turn 5 *****
Avatar 5, at position (22, 7), attempted to move North

***** Turn 6 *****
Avatar 0, at position (34, 39), attempted to move East

***** Turn 7 *****
Avatar 1, at position (2, 27), attempted to move West

***** Turn 8 *****
Avatar 2, at position (19, 38), attempted to move East

***** Turn 9 *****
Avatar 3, at position (6, 37), attempted to move West

***** Turn 10 *****
Avatar 4, at position (14, 33), attempted to move East

***** Turn 11 *****
Avatar 5, at position (22, 6), attempted to move West

***** Turn 12 *****
Avatar 0, at position (35, 39), attempted to move North

***** Turn 13 *****
Avatar 1, at position (1, 27), attempted to move South

***** Turn 14 *****
Avatar 2, at position (19, 38), attempted to move South

***** Turn 15 *****
Avatar 3, at position (5, 37), attempted to move South

***** Turn 16 *****
Avatar 4, at position (14, 33), attempted to move South

***** Turn 17 *****
Avatar 5, at position (22, 6), attempted to move North

***** Turn 18 *****
Avatar 0, at position (35, 38), attempted to move West

***** Turn 19 *****
Avatar 1, at position (1, 27), attempted to move West

***** Turn 20 *****
Avatar 2, at position (19, 39), attempted to move East

***** Turn 21 *****
Avatar 3, at position (5, 37), attempted to move West

***** Turn 22 *****
Avatar 4, at position (14, 34), attempted to move East

***** Turn 23 *****
Avatar 5, at position (22, 6), attempted to move East

***** Turn 24 *****
Avatar 0, at position (35, 38), attempted to move North

***** Turn 25 *****
Avatar 1, at position (0, 27), attempted to move South

***** Turn 26 *****
Avatar 2, at position (20, 39), attempted to move North

***** Turn 27 *****
Avatar 3, at position (4, 37), attempted to move South

***** Turn 28 *****
Avatar 4, at position (15, 34), attempted to move North

***** Turn 29 *****
Avatar 5, at position (23, 6), attempted to move North

***** Turn 30 *****
Avatar 0, at position (35, 38), attempted to move East

***** Turn 31 *****
Avatar 1, at position (0, 28), attempted to move East

***** Turn 32 *****
Avatar 2, at position (20, 38), attempted to move West

***** Turn 33 *****
Avatar 3, at position (4, 37), attempted to move West

***** Turn 34 *****
Avatar 4, at position (15, 34), attempted to move East

***** Turn 35 *****
Avatar 5, at position (23, 5), attempted to move West

***** Turn 36 *****
Avatar 0, at position (36, 38), attempted to move North

***** Turn 37 *****
Avatar 1, at position (0, 28), attempted to move South

***** Turn 38 *****
Avatar 2, at position (20, 38), attempted to move North

***** Turn 39 *****
Avatar 3, at position (4, 37), attempted to move North

***** Turn 40 *****
Avatar 4, at position (15, 34), attempted to move South

***** Turn 41 *****
Avatar 5, at position (22, 5), attempted to move South

***** Turn 42 *****
Avatar 0, at position (36, 37), attempted to move West

***** Turn 43 *****
Avatar 1, at position (0, 29), attempted to move East

***** Turn 44 *****
Avatar 2, at position (20, 37), attempted to move West

***** Turn 45 *****
Avatar 3, at position (4, 36), attempted to move West

***** Turn 46 *****
Avatar 4, at position (15, 35), attempted to move East

***** Turn 47 *****
Avatar 5, at position (22, 5), attempted to move West

***** Turn 48 *****
Avatar 0, at position (36, 37), attempted to move North

***** Turn 49 *****
Avatar 1, at position (1, 29), attempted to move North

***** Turn 50 *****
Avatar 2, at position (19, 37), attempted to move South

***** Turn 51 *****
Avatar 3, at position (4, 36), attempted to move North

***** Turn 52 *****
Avatar 4, at position (15, 35), attempted to move South

***** Turn 53 *****
Avatar 5, at position (22, 5), attempted to move North

***** Turn 54 *****
Avatar 0, at position (36, 37), attempted to move East

***** Turn 55 *****
Avatar 1, at position (1, 28), attempted to move West

***** Turn 56 *****
Avatar 2, at position (19, 37), attempted to move West

***** Turn 57 *****
Avatar 3, at position (4, 36), attempted to move East

***** Turn 58 *****
Avatar 4, at position (15, 35), attempted to move West

***** Turn 59 *****
Avatar 5, at position (22, 4), attempted to move West

***** Turn 60 *****
Avatar 0, at position (37, 37), attempted to move North

***** Turn 61 *****
Avatar 1, at position (1, 28), attempted to move North

***** Turn 62 *****
Avatar 2, at position (19, 37), attempted to move North

***** Turn 63 *****
Avatar 3, at position (5, 36), attempted to move North

***** Turn 64 *****
Avatar 4, at position (15, 35), attempted to move North

***** Turn 65 *****
Avatar 5, at position (21, 4), attempted to move South

***** Turn 66 *****
Avatar 0, at position (37, 36), attempted to move West

***** Turn 67 *****
Avatar 1, at position (1, 28), attempted to move East

***** Turn 68 *****
Avatar 2, at position (19, 37), attempted to move East

***** Turn 69 *****
Avatar 3, at position (5, 36), attempted to move East

***** Turn 70 *****
Avatar 4, at position (15, 34), attempted to move West

***** Turn 71 *****
Avatar 5, at position (21, 5), attempted to move East

***** Turn 72 *****
Avatar 0, at position (37, 36), attempted to move North

***** Turn 73 *****
Avatar 1, at position (1, 28), attempted to move South

***** Turn 74 *****
Avatar 2, at position (20, 37), attempted to move North

***** Turn 75 *****
Avatar 3, at position (6, 36), attempted to move North

***** Turn 76 *****
Avatar 4, at position (14, 34), attempted to move South

***** Turn 77 *****
Avatar 5, at position (21, 5), attempted to move South

***** Turn 78 *****
Avatar 0, at position (37, 35), attempted to move West

***** Turn 79 *****
Avatar 1, at position (1, 29), attempted to move East

***** Turn 80 *****
Avatar 2, at position (20, 37), attempted to move East

***** Turn 81 *****
Avatar 3, at position (6, 36), attempted to move East

***** Turn 82 *****
Avatar 4, at position (14, 34), attempted to move West

***** Turn 83 *****
Avatar 5, at position (21, 6), attempted to move East

***** Turn 84 *****
Avatar 0, at position (37, 35), attempted to move North

***** Turn 85 *****
Avatar 1, at position (2, 29), attempted to move North

***** Turn 86 *****
Avatar 2, at position (21, 37), attempted to move North

***** Turn 87 *****
Avatar 3, at position (7, 36), attempted to move North

***** Turn 88 *****
Avatar 4, at position (13, 34), attempted to move South

***** Turn 89 *****
Avatar 5, at position (21, 6), attempted to move South

***** Turn 90 *****
Avatar 0, at position (37, 35), attempted to move East

***** Turn 91 *****
Avatar 1, at position (2, 29), attempted to move East

***** Turn 92 *****
Avatar 2, at position (21, 37), attempted to move East

***** Turn 93 *****
Avatar 3, at position (7, 36), attempted to move East

***** Turn 94 *****
Avatar 4, at position (13, 35), attempted to move East

***** Turn 95 *****
Avatar 5, at position (21, 7), attempted to move East

***** Turn 96 *****
Avatar 0, at position (38, 35), attempted to move North

***** Turn 97 *****
Avatar 1, at position (2, 29), attempted to move South

***** Turn 98 *****
Avatar 2, at position (22, 37), attempted to move North

***** Turn 99 *****
Avatar 3, at position (8, 36), attempted to move North

***** Turn 100 *****
Avatar 4, at position (14, 35), attempted to move North

***** Turn 101 *****
Avatar 5, at position (21, 7), attempted to move South

***** Turn 102 *****
Avatar 0, at position (38, 35), attempted to move East

***** Turn 103 *****
Avatar 1, at position (2, 30), attempted to move East

***** Turn 104 *****
Avatar 2, at position (22, 37), attempted to move East

***** Turn 105 *****
Avatar 3, at position (8, 36), attempted to move East

***** Turn 106 *****
Avatar 4, at position (14, 35), attempted to move East

***** Turn 107 *****
Avatar 5, at position (21, 8), attempted to move East

***** Turn 108 *****
Avatar 0, at position (39, 35), attempted to move North

***** Turn 109 *****
Avatar 1, at position (3, 30), attempted to move North

***** Turn 110 *****
Avatar 2, at position (23, 37), attempted to move North

***** Turn 111 *****
Avatar 3, at position (8, 36), attempted to move South

***** Turn 112 *****
Avatar 4, at position (14, 35), attempted to move South

***** Turn 113 *****
Avatar 5, at position (21, 8), attempted to move South

***** Turn 114 *****
Avatar 0, at position (39, 34), attempted to move West

***** Turn 115 *****
Avatar 1, at position (3, 30), attempted to move East

***** Turn 116 *****
Avatar 2, at position (23, 37), attempted to move East

***** Turn 117 *****
Avatar 3, at position (8, 37), attempted to move East

***** Turn 118 *****
Avatar 4, at position (14, 36), attempted to move East

***** Turn 119 *****
Avatar 5, at position (21, 9), attempted to move East

***** Turn 120 *****
Avatar 0, at position (38, 34), attempted to move South

***** Turn 121 *****
Avatar 1, at position (4, 30), attempted to move North

***** Turn 122 *****
Avatar 2, at position (23, 37), attempted to move South

***** Turn 123 *****
Avatar 3, at position (8, 37), attempted to move South

***** Turn 124 *****
Avatar 4, at position (14, 36), attempted to move South

***** Turn 125 *****
Avatar 5, at position (22, 9), attempted to move North

***** Turn 126 *****
Avatar 0, at position (38, 34), attempted to move West

***** Turn 127 *****
Avatar 1, at position (4, 30), attempted to move East

***** Turn 128 *****
Avatar 2, at position (23, 38), attempted to move East

***** Turn 129 *****
Avatar 3, at position (8, 37), attempted to move West

***** Turn 130 *****
Avatar 4, at position (14, 37), attempted to move East

***** Turn 131 *****
Avatar 5, at position (22, 9), attempted to move East

***** Turn 132 *****
Avatar 0, at position (38, 34), attempted to move North

***** Turn 133 *****
Avatar 1, at position (5, 30), attempted to move North

***** Turn 134 *****
Avatar 2, at position (23, 38), attempted to move South

***** Turn 135 *****
Avatar 3, at position (7, 37), attempted to move South

***** Turn 136 *****
Avatar 4, at position (15, 37), attempted to move North

***** Turn 137 *****
Avatar 5, at position (22, 9), attempted to move South

***** Turn 138 *****
Avatar 0, at position (38, 33), attempted to move West

***** Turn 139 *****
Avatar 1, at position (5, 30), attempted to move East

***** Turn 140 *****
Avatar 2, at position (23, 39), attempted to move East

***** Turn 141 *****
Avatar 3, at position (7, 38), attempted to move East

***** Turn 142 *****
Avatar 4, at position (15, 36), attempted to move West

***** Turn 143 *****
Avatar 5, at position (22, 10), attempted to move East

***** Turn 144 *****
Avatar 0, at position (37, 33), attempted to move South

***** Turn 145 *****
Avatar 1, at position (6, 30), attempted to move North

***** Turn 146 *****
Avatar 2, at position (24, 39), attempted to move North

***** Turn 147 *****
Avatar 3, at position (7, 38), attempted to move South

***** Turn 148 *****
Avatar 4, at position (15, 36), attempted to move North

***** Turn 149 *****
Avatar 5, at position (22, 10), attempted to move South

***** Turn 150 *****
Avatar 0, at position (37, 33), attempted to move West

