mlkrantz, 38041, Sun May 25 13:39:14 2014

***** Turn 0 *****
Avatar 0, at position (4, 13), attempted to move North

***** Turn 1 *****
Avatar 1, at position (56, 38), attempted to move North

***** Turn 2 *****
Avatar 2, at position (27, 57), attempted to move North

***** Turn 3 *****
Avatar 3, at position (48, 53), attempted to move North

***** Turn 4 *****
Avatar 4, at position (20, 58), attempted to move North

***** Turn 5 *****
Avatar 5, at position (23, 24), attempted to move North

***** Turn 6 *****
Avatar 6, at position (1, 9), attempted to move North

***** Turn 7 *****
Avatar 0, at position (4, 13), attempted to move East

***** Turn 8 *****
Avatar 1, at position (56, 38), attempted to move East

***** Turn 9 *****
Avatar 2, at position (27, 56), attempted to move West

***** Turn 10 *****
Avatar 3, at position (48, 52), attempted to move West

***** Turn 11 *****
Avatar 4, at position (20, 57), attempted to move West

***** Turn 12 *****
Avatar 5, at position (23, 24), attempted to move East

***** Turn 13 *****
Avatar 6, at position (1, 9), attempted to move East

***** Turn 14 *****
Avatar 0, at position (4, 13), attempted to move South

***** Turn 15 *****
Avatar 1, at position (56, 38), attempted to move South

***** Turn 16 *****
Avatar 2, at position (27, 56), attempted to move North

***** Turn 17 *****
Avatar 3, at position (47, 52), attempted to move South

***** Turn 18 *****
Avatar 4, at position (19, 57), attempted to move South

***** Turn 19 *****
Avatar 5, at position (24, 24), attempted to move North

***** Turn 20 *****
Avatar 6, at position (2, 9), attempted to move North

***** Turn 21 *****
Avatar 0, at position (4, 13), attempted to move West

***** Turn 22 *****
Avatar 1, at position (56, 39), attempted to move East

***** Turn 23 *****
Avatar 2, at position (27, 56), attempted to move East

***** Turn 24 *****
Avatar 3, at position (47, 53), attempted to move East

***** Turn 25 *****
Avatar 4, at position (19, 57), attempted to move West

***** Turn 26 *****
Avatar 5, at position (24, 23), attempted to move West

***** Turn 27 *****
Avatar 6, at position (2, 9), attempted to move East

***** Turn 28 *****
Avatar 0, at position (3, 13), attempted to move South

***** Turn 29 *****
Avatar 1, at position (56, 39), attempted to move South

***** Turn 30 *****
Avatar 2, at position (28, 56), attempted to move North

***** Turn 31 *****
Avatar 3, at position (47, 53), attempted to move South

***** Turn 32 *****
Avatar 4, at position (18, 57), attempted to move South

***** Turn 33 *****
Avatar 5, at position (23, 23), attempted to move South

***** Turn 34 *****
Avatar 6, at position (2, 9), attempted to move South

***** Turn 35 *****
Avatar 0, at position (3, 13), attempted to move West

***** Turn 36 *****
Avatar 1, at position (56, 40), attempted to move East

***** Turn 37 *****
Avatar 2, at position (28, 56), attempted to move East

***** Turn 38 *****
Avatar 3, at position (47, 54), attempted to move East

***** Turn 39 *****
Avatar 4, at position (18, 58), attempted to move East

***** Turn 40 *****
Avatar 5, at position (23, 23), attempted to move West

***** Turn 41 *****
Avatar 6, at position (2, 10), attempted to move East

***** Turn 42 *****
Avatar 0, at position (2, 13), attempted to move South

***** Turn 43 *****
Avatar 1, at position (56, 40), attempted to move South

***** Turn 44 *****
Avatar 2, at position (28, 56), attempted to move South

***** Turn 45 *****
Avatar 3, at position (48, 54), attempted to move North

***** Turn 46 *****
Avatar 4, at position (18, 58), attempted to move South

***** Turn 47 *****
Avatar 5, at position (23, 23), attempted to move North

***** Turn 48 *****
Avatar 6, at position (2, 10), attempted to move South

***** Turn 49 *****
Avatar 0, at position (2, 13), attempted to move West

***** Turn 50 *****
Avatar 1, at position (56, 41), attempted to move East

***** Turn 51 *****
Avatar 2, at position (28, 57), attempted to move East

***** Turn 52 *****
Avatar 3, at position (48, 54), attempted to move East

***** Turn 53 *****
Avatar 4, at position (18, 59), attempted to move East

***** Turn 54 *****
Avatar 5, at position (23, 22), attempted to move West

***** Turn 55 *****
Avatar 6, at position (2, 11), attempted to move East

***** Turn 56 *****
Avatar 0, at position (1, 13), attempted to move South

***** Turn 57 *****
Avatar 1, at position (56, 41), attempted to move South

***** Turn 58 *****
Avatar 2, at position (29, 57), attempted to move North

***** Turn 59 *****
Avatar 3, at position (48, 54), attempted to move South

***** Turn 60 *****
Avatar 4, at position (18, 59), attempted to move South

***** Turn 61 *****
Avatar 5, at position (23, 22), attempted to move North

***** Turn 62 *****
Avatar 6, at position (3, 11), attempted to move North

***** Turn 63 *****
Avatar 0, at position (1, 14), attempted to move East

***** Turn 64 *****
Avatar 1, at position (56, 42), attempted to move East

***** Turn 65 *****
Avatar 2, at position (29, 57), attempted to move East

***** Turn 66 *****
Avatar 3, at position (48, 54), attempted to move West

***** Turn 67 *****
Avatar 4, at position (18, 59), attempted to move West

***** Turn 68 *****
Avatar 5, at position (23, 22), attempted to move East

***** Turn 69 *****
Avatar 6, at position (3, 10), attempted to move West

***** Turn 70 *****
Avatar 0, at position (2, 14), attempted to move North

***** Turn 71 *****
Avatar 1, at position (56, 42), attempted to move South

***** Turn 72 *****
Avatar 2, at position (29, 57), attempted to move South

***** Turn 73 *****
Avatar 3, at position (47, 54), attempted to move South

***** Turn 74 *****
Avatar 4, at position (17, 59), attempted to move South

***** Turn 75 *****
Avatar 5, at position (23, 22), attempted to move South

***** Turn 76 *****
Avatar 6, at position (3, 10), attempted to move North

***** Turn 77 *****
Avatar 0, at position (2, 14), attempted to move East

***** Turn 78 *****
Avatar 1, at position (56, 43), attempted to move East

***** Turn 79 *****
Avatar 2, at position (29, 58), attempted to move East

***** Turn 80 *****
Avatar 3, at position (47, 54), attempted to move West

***** Turn 81 *****
Avatar 4, at position (17, 59), attempted to move West

***** Turn 82 *****
Avatar 5, at position (23, 23), attempted to move East

***** Turn 83 *****
Avatar 6, at position (3, 10), attempted to move East

***** Turn 84 *****
Avatar 0, at position (2, 14), attempted to move South

***** Turn 85 *****
Avatar 1, at position (56, 43), attempted to move South

***** Turn 86 *****
Avatar 2, at position (30, 58), attempted to move North

***** Turn 87 *****
Avatar 3, at position (47, 54), attempted to move North

***** Turn 88 *****
Avatar 4, at position (17, 59), attempted to move North

***** Turn 89 *****
Avatar 5, at position (24, 23), attempted to move North

***** Turn 90 *****
Avatar 6, at position (4, 10), attempted to move North

***** Turn 91 *****
Avatar 0, at position (2, 15), attempted to move East

***** Turn 92 *****
Avatar 1, at position (56, 43), attempted to move West

***** Turn 93 *****
Avatar 2, at position (30, 57), attempted to move West

***** Turn 94 *****
Avatar 3, at position (47, 53), attempted to move West

***** Turn 95 *****
Avatar 4, at position (17, 58), attempted to move West

***** Turn 96 *****
Avatar 5, at position (24, 23), attempted to move East

***** Turn 97 *****
Avatar 6, at position (4, 10), attempted to move East

***** Turn 98 *****
Avatar 0, at position (3, 15), attempted to move North

***** Turn 99 *****
Avatar 1, at position (55, 43), attempted to move South

***** Turn 100 *****
Avatar 2, at position (30, 57), attempted to move North

***** Turn 101 *****
Avatar 3, at position (47, 53), attempted to move North

***** Turn 102 *****
Avatar 4, at position (17, 58), attempted to move North

***** Turn 103 *****
Avatar 5, at position (25, 23), attempted to move North

***** Turn 104 *****
Avatar 6, at position (4, 10), attempted to move South

***** Turn 105 *****
Avatar 0, at position (3, 14), attempted to move West

***** Turn 106 *****
Avatar 1, at position (55, 43), attempted to move West

***** Turn 107 *****
Avatar 2, at position (30, 57), attempted to move East

***** Turn 108 *****
Avatar 3, at position (47, 52), attempted to move West

***** Turn 109 *****
Avatar 4, at position (17, 57), attempted to move West

***** Turn 110 *****
Avatar 5, at position (25, 23), attempted to move East

***** Turn 111 *****
Avatar 6, at position (4, 10), attempted to move West

***** Turn 112 *****
Avatar 0, at position (3, 14), attempted to move North

***** Turn 113 *****
Avatar 1, at position (54, 43), attempted to move South

***** Turn 114 *****
Avatar 2, at position (31, 57), attempted to move North

***** Turn 115 *****
Avatar 3, at position (47, 52), attempted to move North

***** Turn 116 *****
Avatar 4, at position (17, 57), attempted to move North

***** Turn 117 *****
Avatar 5, at position (25, 23), attempted to move South

***** Turn 118 *****
Avatar 6, at position (3, 10), attempted to move South

***** Turn 119 *****
Avatar 0, at position (3, 14), attempted to move East

***** Turn 120 *****
Avatar 1, at position (54, 44), attempted to move East

***** Turn 121 *****
Avatar 2, at position (31, 57), attempted to move East

***** Turn 122 *****
Avatar 3, at position (47, 51), attempted to move West

***** Turn 123 *****
Avatar 4, at position (17, 56), attempted to move West

***** Turn 124 *****
Avatar 5, at position (25, 24), attempted to move East

***** Turn 125 *****
Avatar 6, at position (3, 11), attempted to move East

***** Turn 126 *****
Avatar 0, at position (3, 14), attempted to move South

***** Turn 127 *****
Avatar 1, at position (55, 44), attempted to move North

***** Turn 128 *****
Avatar 2, at position (32, 57), attempted to move North

***** Turn 129 *****
Avatar 3, at position (46, 51), attempted to move South

***** Turn 130 *****
Avatar 4, at position (16, 56), attempted to move South

***** Turn 131 *****
Avatar 5, at position (26, 24), attempted to move North

***** Turn 132 *****
Avatar 6, at position (3, 11), attempted to move South

***** Turn 133 *****
Avatar 0, at position (3, 15), attempted to move East

***** Turn 134 *****
Avatar 1, at position (55, 44), attempted to move East

***** Turn 135 *****
Avatar 2, at position (32, 57), attempted to move East

***** Turn 136 *****
Avatar 3, at position (46, 51), attempted to move West

***** Turn 137 *****
Avatar 4, at position (16, 56), attempted to move West

***** Turn 138 *****
Avatar 5, at position (26, 24), attempted to move East

***** Turn 139 *****
Avatar 6, at position (3, 11), attempted to move West

***** Turn 140 *****
Avatar 0, at position (3, 15), attempted to move South

***** Turn 141 *****
Avatar 1, at position (56, 44), attempted to move North

***** Turn 142 *****
Avatar 2, at position (32, 57), attempted to move South

***** Turn 143 *****
Avatar 3, at position (45, 51), attempted to move South

***** Turn 144 *****
Avatar 4, at position (15, 56), attempted to move South

***** Turn 145 *****
Avatar 5, at position (27, 24), attempted to move North

***** Turn 146 *****
Avatar 6, at position (2, 11), attempted to move South

***** Turn 147 *****
Avatar 0, at position (3, 16), attempted to move East

***** Turn 148 *****
Avatar 1, at position (56, 44), attempted to move East

***** Turn 149 *****
Avatar 2, at position (32, 58), attempted to move East

***** Turn 150 *****
Avatar 3, at position (45, 51), attempted to move West

